application_number;application_date;registration_date;application_language_code;second_language_code;expiry_date;name
80;018005445;2019-01-02;2019-05-22;en;fr;2029-01-02;GOLDBAUM
81;018005447;2019-01-02;2019-05-02;da;en;2029-01-02;Rubbish
82;018005452;2019-01-02;2019-06-26;en;it;2029-01-02;CLUB CERTAS ENERGY
83;018005453;2019-01-02;2019-05-11;en;fr;2029-01-02;LOVATTI
84;018005454;2019-01-02;2019-04-25;en;es;2029-01-02;SassLass
85;018005457;2019-01-02;2019-06-13;en;fr;2029-01-02;MCWlaser
86;018005458;2019-01-02;2019-05-18;en;fr;2029-01-02;VAGEEK
87;018005459;2019-01-02;2019-05-18;en;fr;2029-01-02;TigeJoy
88;018005461;2019-01-02;2019-04-25;de;en;2029-01-02;ESPADEVIDA
89;018005462;2019-01-03;2019-05-01;sv;en;2029-01-03;ORTHOSHELL
90;018005466;2019-01-03;2019-05-11;en;fr;2029-01-03;MOVEWRIGHT
91;018005472;2019-01-03;2019-05-15;hu;en;2029-01-03;CryptoMax
92;018005474;2019-01-03;2019-04-20;en;fr;2029-01-03;WOODSTIKK
93;018005475;2019-01-03;2019-05-22;de;en;2029-01-03;IsoPro65
94;018005477;2019-01-03;2019-05-11;de;en;2029-01-03;Lumbagil
95;018005481;2019-01-03;2019-05-23;de;en;2029-01-03;ATHLEANPRO
96;018005485;2019-01-03;2019-05-24;fr;en;2029-01-03;ACTICLEVER
97;018005490;2019-01-03;2019-05-23;es;en;2029-01-03;SCALSIM
98;018005492;2019-01-03;2019-04-24;en;it;2029-01-03;ATCRINICT
99;018005639;2019-01-01;2019-04-29;en;de;2029-01-01;CORASIM
100;018005640;2019-01-02;2019-04-26;en;it;2029-01-02;Pureatic
101;018005647;2019-01-02;2019-09-14;fr;en;2029-01-02;ORGANISSSIME
102;018005651;2019-01-02;2019-06-18;en;fr;2029-01-02;STOIC
103;018005654;2019-01-02;2019-04-20;en;fr;2029-01-02;EAU DES PRINCES
104;018005659;2019-01-02;2019-06-07;it;en;2029-01-02;MGP VALUES
105;018005660;2019-01-02;2020-05-22;it;en;2029-01-02;Green molecular science
106;018005661;2019-01-02;2019-05-15;fr;en;2029-01-02;ISKRA THEATRES
107;018005662;2019-01-02;2019-06-07;it;en;2029-01-02;MGP STUDIOS
108;018005665;2019-01-02;2019-04-20;nl;en;2029-01-02;Ilbay's
109;018005666;2019-01-02;2019-04-24;nl;en;2029-01-02;kwikqy
110;018005669;2019-01-02;2020-01-28;fi;en;2029-01-02;ARCTIC SILENCE
111;018005672;2019-01-02;2019-05-22;en;de;2029-01-02;AVALEE
112;018005685;2019-01-02;2019-06-13;en;it;2029-01-02;LITTBAG
113;018005693;2019-01-03;2019-04-29;en;de;2029-01-03;Joissy Bui
114;018005694;2019-01-03;2019-04-29;en;fr;2029-01-03;picturethis
115;018005696;2019-01-03;2019-05-31;it;en;2029-01-03;Dariexdo
116;018005697;2019-01-03;2019-05-23;da;en;2029-01-03;Trailhub
117;018005703;2019-01-03;2019-05-11;de;en;2029-01-03;FF Substanzielles Marketing
118;018005704;2019-01-03;2019-05-01;de;en;2029-01-03;The Man of Passion
119;018005708;2019-01-03;2019-05-28;en;de;2029-01-03;MAGNA MECHATRONICS
120;018005709;2019-01-03;2019-05-07;en;de;2029-01-03;SEDONA H
121;018005710;2019-01-03;2019-05-23;nl;en;2029-01-03;PEI
122;018005711;2019-01-03;2019-05-07;en;de;2029-01-03;Z-Z65
123;018005712;2019-01-03;2019-05-23;en;de;2029-01-03;SIROGEN
