application_number;application_date;registration_date;application_language_code;second_language_code;expiry_date;name
4170;018015908;2019-01-29;2019-06-14;de;en;2029-01-29;FixCool
4171;018015909;2019-01-29;2019-08-30;de;en;2029-01-29;Athena
4172;018015910;2019-01-29;2019-05-23;sv;en;2029-01-29;SONDO
4173;018015911;2019-01-29;2020-01-25;de;en;2029-01-29;myfries
4174;018015913;2019-01-29;2019-05-14;de;en;2029-01-29;BLAZE INFERNO
4175;018015915;2019-01-29;2019-06-04;de;en;2029-01-29;Nicoletta
4176;018015916;2019-01-29;2019-08-13;it;en;2029-01-29;COOPER
4177;018015918;2019-01-29;2019-05-23;sv;en;2029-01-29;POLYLINO
4178;018015919;2019-01-29;2019-03-04;en;de;2029-01-29;TETRATEX FLUENT
4179;018015923;2019-01-29;2019-06-13;fr;en;2029-01-29;CAMPU VECCHIU
4180;018015926;2019-01-29;2019-05-17;de;en;2029-01-29;LASTKRAFT
4181;018015930;2019-01-29;2020-01-25;fr;en;2029-01-29;beton drainant
4182;018015931;2019-01-29;2019-05-14;de;en;2029-01-29;LKB
4183;018015932;2019-03-18;2020-05-22;nl;en;2029-03-18;Aroma Shots
4184;018015936;2019-01-29;2019-06-05;de;en;2029-01-29;FUTURE SERIES FU.SE
4185;018015937;2019-01-29;2019-05-15;it;en;2029-01-29;GO MOM GO
4186;018015940;2019-01-29;2019-05-25;en;fr;2029-01-29;QBE WORLD
4187;018015942;2019-01-29;2019-05-28;en;fr;2029-01-29;SUNDAY DUTY DODGE
4188;018015944;2019-01-29;2019-06-11;it;en;2029-01-29;ASSAI
4189;018015945;2019-01-29;2019-05-17;en;fr;2029-01-29;SYNPLICITY
4190;018015950;2019-01-29;2019-05-24;it;en;2029-01-29;F90
4191;018015951;2019-01-29;2019-05-18;it;en;2029-01-29;DAHEMA
4192;018015956;2019-01-29;2019-07-06;de;en;2029-01-29;ROCS
4193;018015959;2019-01-30;2019-05-15;en;de;2029-01-30;YaptheS
4194;018015960;2019-01-30;2019-05-15;en;de;2029-01-30;Fengzio
4195;018015961;2019-01-30;2019-05-15;en;de;2029-01-30;Yimorex
4196;018015974;2019-01-28;2019-06-13;it;en;2029-01-28;CIRQUE
4197;018015975;2019-01-28;2019-05-16;de;en;2029-01-28;VST
4198;018015977;2019-01-28;2019-06-08;en;fr;2029-01-28;UPTOWN
4199;018015979;2019-01-28;2019-06-11;de;en;2029-01-28;Planprotect
4200;018015982;2019-01-28;2020-03-04;es;en;2029-01-28;SPORT WEEKEND
4201;018015984;2019-01-28;2019-06-08;en;fr;2029-01-28;MY OH MY
4202;018015987;2019-01-28;2019-07-31;en;fr;2029-01-28;VISI-SKILL
4203;018015990;2019-01-28;2019-05-18;pt;en;2029-01-28;QUINTA D' OURO VERDE
4204;018015993;2019-01-28;2019-06-08;en;fr;2029-01-28;AKLA
4205;018015994;2019-01-28;2019-07-09;en;fr;2029-01-28;AGROPAPER
4206;018015999;2019-01-28;2020-07-06;en;it;2029-01-28;NORDE
4207;018016000;2019-01-28;2019-07-11;en;fr;2029-01-28;THE E WORD
4208;018016002;2019-01-28;2019-07-05;en;fr;2029-01-28;GLIDEPATH SLIM
4209;018016004;2019-01-28;2019-05-14;fr;en;2029-01-28;Mediclaro BioPrev
4210;018016006;2019-01-28;2019-08-27;en;es;2029-01-28;WARMCUBE
4211;018016008;2019-01-28;2019-06-15;en;it;2029-01-28;BEACH TO BOARDROOM
4212;018016009;2019-01-28;2019-06-28;en;it;2029-01-28;BITTERMENS
4213;018016011;2019-01-28;2019-05-17;en;de;2029-01-28;Authors  Distillery
4214;018016015;2019-01-28;2019-05-17;de;en;2029-01-28;Codista
4215;018016017;2019-01-28;2019-05-17;en;fr;2029-01-28;TREEWOOL
4216;018016018;2019-01-28;2019-05-14;fr;en;2029-01-28;Mediclaro LifeScience
4217;018016020;2019-01-28;2019-06-07;it;en;2029-01-28;ESELPROD
4218;018016021;2019-01-28;2019-07-16;en;de;2029-01-28;TORRAS
4219;018016022;2019-01-28;2019-06-19;en;de;2029-01-28;Ranvoo
4220;018016032;2019-01-29;2019-06-14;de;en;2029-01-29;CoreFinding
4221;018016035;2019-01-29;2019-05-18;de;en;2029-01-29;SIBOLIV
4222;018016037;2019-01-29;2019-05-14;de;en;2029-01-29;SEIZ CUT ANTI BULGE
4223;018016038;2019-01-29;2019-05-17;de;en;2029-01-29;dwarfs and Giants
4224;018016041;2019-01-29;2019-05-17;nl;en;2029-01-29;Doozie
4225;018016042;2019-01-29;2019-07-06;de;en;2029-01-29;Concruiter
4226;018016044;2019-01-29;2019-05-15;de;fr;2029-01-29;palais du soleil
4227;018016049;2019-01-29;2019-06-13;de;en;2029-01-29;Cloudmodelling
4228;018016052;2019-01-29;2019-05-29;en;it;2029-01-29;HUAWEI Mate Smart
4229;018016053;2019-01-29;2019-07-06;de;en;2029-01-29;KRONOS
4230;018016055;2019-01-29;2019-07-04;it;en;2029-01-29;MCLXX STREET COUTURE
4231;018016056;2019-01-29;2019-05-17;en;it;2029-01-29;J.W. TUFTS CO.
4232;018016057;2019-01-29;2019-06-14;de;en;2029-01-29;GyRho
4233;018016067;2019-01-29;2019-05-16;el;en;2029-01-29;MAI TSAI
4234;018016070;2019-01-29;2019-05-16;el;en;2029-01-29;OLYMPUS MAI TSAI
4235;018016072;2019-01-29;2019-08-13;de;en;2029-01-29;LEROMA
4236;018016074;2019-01-29;2019-06-13;en;fr;2029-01-29;Active Advance
4237;018016076;2019-01-29;2019-05-14;de;en;2029-01-29;DAHLMANNS
4238;018016079;2019-01-29;2019-08-07;de;en;2029-01-29;rollyBox
4239;018016080;2019-01-29;2019-06-27;en;fr;2029-01-29;TECHNOLINEN
4240;018016081;2019-01-29;2019-05-14;en;fr;2029-01-29;SEALECTION
4241;018016082;2019-01-29;2019-05-14;en;fr;2029-01-29;HOGMONEY
4242;018016083;2019-01-29;2019-05-14;en;fr;2029-01-29;HEATLOK
4243;018016085;2019-01-29;2019-07-04;en;fr;2029-01-29;DEMILEC
4244;018016086;2019-01-29;2019-06-12;es;en;2029-01-29;CASTILLO DE BAYREN
4245;018016087;2019-01-29;2019-05-18;hu;en;2029-01-29;DrNatura-SuperGreens
4246;018016088;2019-01-29;2019-05-22;en;it;2029-01-29;Etro Market
4247;018016089;2019-01-29;2019-11-29;fr;en;2029-01-29;PUR AROMA KIT
4248;018016090;2019-01-29;2019-05-15;fi;en;2029-01-29;Habinator
4249;018016091;2019-01-29;2019-06-11;en;es;2029-01-29;THAK
4250;018016092;2019-01-29;2019-06-11;en;es;2029-01-29;UNU
4251;018016093;2019-01-29;2019-06-28;fr;en;2029-01-29;PUR MOMENT AROMA
4252;018016094;2019-01-29;2019-06-04;en;de;2029-01-29;TOMIX
4253;018016096;2019-01-29;2019-08-22;de;en;2029-01-29;Dücker Corrpal
4254;018016100;2019-01-29;2019-06-11;nl;en;2029-01-29;PHIL AT HOME
4255;018016101;2019-01-29;2019-05-14;en;fr;2029-01-29;AUSSIE ADVENTURE
4256;018016102;2019-01-29;2019-06-01;en;fr;2029-01-29;Cordonel
4257;018016103;2019-01-29;2019-08-15;en;de;2029-01-29;RIDIPAPER
4258;018016104;2019-01-29;2019-05-16;it;en;2029-01-29;ONKOSHIELD
4259;018016106;2019-01-29;2019-05-15;fr;en;2029-01-29;L'UNIVERS FANTASTIQUE BY MASKOT
4260;018016107;2019-01-29;2019-08-22;de;en;2029-01-29;Dücker Ringwood
4261;018016108;2019-01-29;2019-09-25;de;en;2029-01-29;8TIMES3
4262;018016110;2019-01-29;2019-05-15;fr;en;2029-01-29;SkinClimatRiSC
4263;018016111;2019-01-29;2019-07-12;fr;en;2029-01-29;WEGSON
4264;018016112;2019-01-29;2019-07-10;en;fr;2029-01-29;Celeb Alarm
4265;018016113;2019-01-29;2019-08-07;fr;en;2029-01-29;TERVENE
4266;018016115;2019-01-29;2019-09-05;it;en;2029-01-29;PICCOLA PESTE
4267;018016116;2019-01-29;2019-07-12;fr;en;2029-01-29;MOTEDGE
4268;018016117;2019-01-29;2019-06-12;en;de;2029-01-29;AIRFLY
4269;018016118;2019-01-29;2019-06-12;de;en;2029-01-29;VarioSan
4270;018016119;2019-01-29;2019-06-01;en;de;2029-01-29;POWERPIC
4271;018016123;2019-01-29;2019-06-12;de;en;2029-01-29;Distizym
4272;018016124;2019-01-29;2019-05-14;pt;en;2029-01-29;Fazenda do Sul
4273;018016125;2019-01-29;2019-06-01;de;en;2029-01-29;Metavin
4274;018016128;2019-01-29;2019-06-05;de;en;2029-01-29;HBB
4275;018016130;2019-01-29;2019-06-12;en;de;2029-01-29;LAMBDA
4276;018016132;2019-01-29;2019-07-04;en;fr;2029-01-29;INCAFLOOR
4277;018016133;2019-01-29;2019-05-18;it;en;2029-01-29;BROFIND
4278;018016138;2019-01-29;2019-06-05;en;it;2029-01-29;Oxyknight
4279;018016139;2019-01-29;2019-05-15;it;en;2029-01-29;Black Sheep
4280;018016140;2019-01-29;2019-06-13;en;fr;2029-01-29;Salty Sheep
4281;018016146;2019-01-29;2019-05-29;pl;en;2029-01-29;BMD Titanium ACIF Implant – BMDA
4282;018016147;2019-01-29;2019-06-27;en;de;2029-01-29;Bonum
4283;018016148;2019-01-29;2019-05-29;pl;en;2029-01-29;BMD Titanium TLIF Implant – BMDT
4284;018016149;2019-01-29;2019-05-29;pl;en;2029-01-29;BMD Titanium PLIF Implant – BMDP
4285;018016153;2019-01-30;2019-05-15;en;de;2029-01-30;WOOWTT
4286;018016154;2019-01-30;2019-05-29;en;es;2029-01-30;POWOBEST
4287;018016155;2019-01-30;2019-05-29;en;es;2029-01-30;SMILEPOWO
4288;018016157;2019-01-30;2019-06-14;de;en;2029-01-30;RIPS
4289;018016160;2019-01-30;2019-06-19;en;it;2029-01-30;COMO CASTELLO DEL NERO
4290;018016164;2019-01-30;2020-09-28;en;fr;2029-01-30;SKILLZY
4291;018016165;2019-01-30;2019-08-30;en;de;2029-01-30;REAscreen
4292;018016166;2019-01-30;2019-06-14;hu;en;2029-01-30;DVARW
4293;018016173;2019-01-30;2019-05-30;da;en;2029-01-30;COCOTURE
4294;018016176;2019-01-30;2019-05-16;it;en;2029-01-30;OR@MI
4295;018016178;2019-01-30;2019-03-04;en;fr;2029-01-30;MISTER CHICAGO
4296;018016179;2019-01-30;2019-07-11;de;en;2029-01-30;VitaFerm
4297;018016181;2019-01-30;2019-05-15;pt;fr;2029-01-30;SEXTAN
4298;018016182;2019-01-30;2019-05-15;en;fr;2029-01-30;OVA
4299;018016183;2019-01-30;2019-05-15;pt;fr;2029-01-30;TAISEN
4300;018016185;2019-01-30;2019-06-12;de;en;2029-01-30;Vitamon
4301;018016186;2019-01-30;2019-07-05;en;fr;2029-01-30;FANCY FOREST
4302;018016189;2019-01-30;2019-05-15;de;en;2029-01-30;Jescali
4303;018016191;2019-01-30;2019-06-28;it;en;2029-01-30;BURNING TIME
4304;018016193;2019-01-30;2019-07-04;en;es;2029-01-30;IQOS HOME
4305;018016195;2019-01-30;2019-05-17;fr;en;2029-01-30;Gaya cachaça
4306;018016198;2019-03-01;2019-07-05;es;en;2029-03-01;SHIVA
4307;018016202;2019-01-30;2019-06-13;en;it;2029-01-30;EVIE
4308;018016203;2019-01-30;2019-05-16;en;de;2029-01-30;KAFRI
4309;018016205;2019-01-30;2019-07-26;de;en;2029-01-30;W+R
4310;018016206;2019-01-30;2019-12-21;de;en;2029-01-30;BERGGARNELE
4311;018016207;2019-01-30;2019-05-16;el;en;2029-01-30;JEVED GROUP
4312;018016208;2019-01-30;2019-10-02;en;fr;2029-01-30;PODPALS
4313;018016212;2019-01-30;2019-10-19;fr;en;2029-01-30;VIVENDI
4314;018016213;2019-01-30;2020-10-26;es;en;2029-01-30;PREMAX
4315;018016215;2019-01-30;2019-05-17;de;en;2029-01-30;ABSOLUTE VISION DIRECTOR
4316;018016218;2019-01-30;2019-05-16;it;en;2029-01-30;MORETTINO
4317;018016220;2019-01-30;2019-06-12;nl;en;2029-01-30;LOGO
4318;018016221;2019-01-30;2019-05-16;pl;en;2029-01-30;SINEZ
4319;018016233;2019-01-26;2019-05-14;en;fr;2029-01-26;ieDepot
4320;018016493;2019-01-27;2019-05-14;es;en;2029-01-27;VerticalLine
4321;018016494;2019-01-25;2019-08-22;en;de;2029-01-25;CJTHEMARKET
4322;018016514;2019-01-28;2019-06-11;en;fr;2029-01-28;Akdolit Marine
4323;018016518;2019-01-28;2019-05-14;en;fr;2029-01-28;METDAAN
4324;018016520;2019-01-28;2019-05-14;en;fr;2029-01-28;UFAC
4325;018016524;2019-01-28;2019-06-12;en;it;2029-01-28;AMPP
4326;018016526;2019-01-28;2019-05-28;en;fr;2029-01-28;HUNGERITHM
4327;018016527;2019-01-28;2019-05-31;en;fr;2029-01-28;INECTA
4328;018016531;2019-01-28;2019-06-12;nl;en;2029-01-28;BET YOU GET A CRUNCH ON ME
4329;018016532;2019-01-28;2019-06-26;en;de;2029-01-28;DISSTON
4330;018016533;2019-01-28;2019-06-12;nl;en;2029-01-28;I DELIVER WITH CRUNCH GUARANTEE
4331;018016537;2019-01-28;2019-06-12;en;fr;2029-01-28;LIPDIAA
4332;018016539;2019-01-28;2020-06-19;es;en;2029-01-28;CARMESINA
4333;018016540;2019-01-28;2020-02-01;fr;en;2029-01-28;ETOFFE.COM
4334;018016544;2019-01-28;2019-07-20;en;de;2029-01-28;SUSTAINAGILITY
4335;018016545;2019-01-28;2019-05-24;en;de;2029-01-28;REACHWISE
4336;018016547;2019-01-28;2019-07-16;en;it;2029-01-28;LITTLEBLOOM
4337;018016549;2019-01-28;2019-06-12;hu;en;2029-01-28;ZIPTECH
4338;018016550;2019-01-28;2019-05-14;de;en;2029-01-28;SOOOM
4339;018016554;2019-01-28;2019-06-11;de;en;2029-01-28;Holiday on Space
4340;018016556;2019-01-28;2019-07-13;de;en;2029-01-28;Master of Batch
4341;018016558;2019-01-28;2019-05-14;en;fr;2029-01-28;EKVATOR
4342;018016560;2019-01-28;2019-06-12;en;fr;2029-01-28;HASK HAIR AND SKIN KINDNESS
4343;018016562;2019-01-28;2019-06-12;en;fr;2029-01-28;SUPACLASS
4344;018016563;2019-01-28;2019-05-16;en;es;2029-01-28;Zolal Iberico
4345;018016565;2019-01-29;2019-05-15;it;es;2029-01-29;giugrax
4346;018016573;2019-01-29;2019-06-22;en;de;2029-01-29;Ere Perez
4347;018016574;2019-01-29;2019-05-30;en;fr;2029-01-29;BUXEROS CAPITAL
4348;018016575;2019-01-29;2019-05-16;en;de;2029-01-29;NAOMI GOODSIR
4349;018016577;2019-01-29;2019-06-01;fr;en;2029-01-29;KAKOO
4350;018016580;2019-01-29;2019-06-01;lt;en;2029-01-29;HALOMED
4351;018016581;2019-01-29;2019-07-20;en;de;2029-01-29;MOOMOOZ
4352;018016588;2019-01-29;2019-06-07;nl;fr;2029-01-29;BREW MONK
4353;018016593;2019-01-29;2019-05-15;fr;en;2029-01-29;HAPPINESS IS HERE
4354;018016595;2019-01-29;2019-05-17;de;en;2029-01-29;OOLORO
4355;018016597;2019-01-29;2019-07-03;en;fr;2029-01-29;Nokiwiqis
4356;018016599;2019-01-29;2019-06-19;en;es;2029-01-29;Nensiche
4357;018016601;2019-01-29;2019-06-12;sv;en;2029-01-29;REAC
4358;018016602;2019-01-29;2019-06-15;en;es;2029-01-29;OUSFOT
4359;018016606;2019-01-29;2019-05-16;en;it;2029-01-29;Joystown
4360;018016608;2019-01-29;2019-05-16;en;it;2029-01-29;Angisy
4361;018016613;2019-01-29;2019-05-28;pt;en;2029-01-29;ABC CARGO
4362;018016614;2019-01-29;2019-05-14;en;fr;2029-01-29;NOURIANZ
4363;018016615;2019-01-29;2019-05-14;en;fr;2029-01-29;OROSEL
4364;018016620;2019-01-29;2019-05-14;en;fr;2029-01-29;NOURINSO
4365;018016621;2019-01-29;2019-05-17;en;it;2029-01-29;Evilays
4366;018016623;2019-01-29;2019-05-14;en;fr;2029-01-29;LIANTRONICS
4367;018016637;2019-01-29;2019-06-05;de;en;2029-01-29;4 elements of chocolate
4368;018016640;2019-01-29;2019-05-18;de;en;2029-01-29;Culture Beat
4369;018016644;2019-01-29;2019-08-07;nl;en;2029-01-29;TobAcademy
4370;018016650;2019-01-29;2019-05-15;hu;en;2029-01-29;WoodStar
4371;018016653;2019-01-29;2019-06-05;de;en;2029-01-29;EGO-IST-IN
4372;018016655;2019-01-29;2019-07-16;de;en;2029-01-29;WSP
4373;018016657;2019-01-29;2019-07-26;en;it;2029-01-29;OKJA
4374;018016658;2019-01-29;2019-07-10;en;fr;2029-01-29;THE WALL
4375;018016661;2019-01-29;2019-06-01;en;de;2029-01-29;ASCELTA
4376;018016663;2019-01-29;2019-07-24;en;fr;2029-01-29;BILLIONAIRE WOLF
4377;018016664;2019-01-29;2019-06-11;fr;en;2029-01-29;ALCOSURF DIPP69
4378;018016665;2019-01-29;2019-08-22;de;en;2029-01-29;Dücker Robotics
4379;018016666;2019-01-29;2019-06-12;en;fr;2029-01-29;THERE ARE NO PROBLEMS-ONLY PROJECTS
4380;018016667;2019-01-29;2019-07-06;en;es;2029-01-29;BREEZA
4381;018016668;2019-01-29;2020-05-22;de;en;2029-01-29;tigerticket
4382;018016670;2019-01-29;2019-05-23;sv;en;2029-01-29;Ircon
4383;018016672;2019-01-29;2019-06-21;de;en;2029-01-29;WALZ RESIST
4384;018016673;2019-01-29;2019-08-22;de;en;2029-01-29;Dücker Prefeeder
4385;018016674;2019-01-29;2019-07-05;en;de;2029-01-29;STAY KOOOOK
4386;018016676;2019-01-29;2019-07-03;en;es;2029-01-29;ButtRest
4387;018016677;2019-01-29;2019-06-01;en;de;2029-01-29;HALFTIME HEAT
4388;018016679;2019-01-29;2019-06-12;de;en;2029-01-29;FRIZ
4389;018016680;2019-01-29;2019-06-12;en;fr;2029-01-29;OUR GENERATION
4390;018016682;2019-01-29;2019-05-25;en;de;2029-01-29;QUARTZ
4391;018016684;2019-01-29;2019-05-18;sv;en;2029-01-29;Lidan
4392;018016685;2019-01-29;2019-05-14;en;fr;2029-01-29;DINGLE GIN
4393;018016686;2019-01-29;2019-06-08;en;it;2029-01-29;S SERIES
4394;018016687;2019-01-29;2020-06-11;en;fr;2029-01-29;WILDLIFE WONDERS
4395;018016689;2019-01-29;2019-05-14;en;fr;2029-01-29;DINGLE VODKA
4396;018016690;2019-01-29;2019-05-28;it;en;2029-01-29;CULEBRA
4397;018016691;2019-01-29;2019-06-08;nl;en;2029-01-29;PLESSTICS
4398;018016693;2019-01-29;2019-05-31;en;it;2029-01-29;Salvator Mundi International Hospital
4399;018016696;2019-01-29;2019-06-13;en;it;2029-01-29;i2r Ultra
4400;018016697;2019-01-29;2019-07-05;de;en;2029-01-29;GRAMGOLDCOIN
4401;018016700;2019-01-29;2019-06-01;en;fr;2029-01-29;CENTR
4402;018016701;2019-01-29;2020-05-22;de;en;2029-01-29;charge@home
4403;018016703;2019-01-29;2019-06-01;en;it;2029-01-29;WEETABIX
4404;018016706;2019-01-30;2019-05-15;en;de;2029-01-30;KOATCY
4405;018016718;2019-01-30;2019-05-30;de;en;2029-01-30;XABO
4406;018016721;2019-01-30;2019-06-14;de;en;2029-01-30;PT5
4407;018016722;2019-01-30;2019-05-15;sv;en;2029-01-30;Northislet
4408;018016723;2019-01-30;2019-06-18;de;en;2029-01-30;Pina to go
4409;018016725;2019-01-30;2019-05-18;de;en;2029-01-30;PROQEMA
4410;018016729;2019-01-30;2019-05-28;lv;en;2029-01-30;TUBIT
4411;018016732;2019-01-30;2019-05-15;en;de;2029-01-30;LanTa
4412;018016735;2019-01-30;2019-05-28;en;de;2029-01-30;Hypno-Mind Meditation
4413;018016737;2019-01-30;2020-02-04;es;en;2029-01-30;ALMALIVA
4414;018016739;2019-01-30;2019-05-18;de;en;2029-01-30;VEROO
4415;018016740;2019-01-30;2019-06-05;en;de;2029-01-30;M KITCHEN WORLD
4416;018016742;2019-01-30;2020-06-22;en;it;2029-01-30;FIXBULL
4417;018016743;2019-01-30;2019-05-18;de;en;2029-01-30;VERUU
4418;018016745;2019-01-30;2019-08-03;en;de;2029-01-30;DICHTOMATIK
4419;018016746;2019-01-30;2019-05-18;de;en;2029-01-30;WEROO
4420;018016749;2019-01-30;2019-05-18;de;en;2029-01-30;PROSPEROO
4421;018016753;2019-01-30;2019-05-15;en;it;2029-01-30;IPLBAI
4422;018016755;2019-01-30;2019-06-15;en;es;2029-01-30;HAVE FARM
4423;018016756;2019-01-30;2019-06-15;en;es;2029-01-30;BUILDER KNIGHTS
4424;018016758;2019-01-30;2019-09-05;de;en;2029-01-30;optineo
4425;018016760;2019-01-30;2019-07-26;fi;en;2029-01-30;NORDEA SUSTAINABLE SELECTION
4426;018016764;2019-01-29;2019-06-13;de;en;2029-01-29;TURNBAR
4427;018016767;2019-01-29;2019-05-16;da;en;2029-01-29;Neets
4428;018016769;2019-01-29;2019-06-11;es;en;2029-01-29;KRISKA
4429;018016770;2019-01-29;2019-05-28;en;it;2029-01-29;ENTEGRAL
4430;018016774;2019-01-29;2019-05-14;en;fr;2029-01-29;MS GEMSTONE
4431;018016775;2019-01-29;2019-07-13;es;en;2029-01-29;ColaCado
4432;018016779;2019-01-29;2019-10-03;de;en;2029-01-29;WE KNOW BLACK.
4433;018016780;2019-01-29;2020-06-17;en;fr;2029-01-29;RYAN'S WORLD
4434;018016782;2019-01-29;2019-06-12;en;it;2029-01-29;TOP TRUMPS
4435;018016783;2019-01-29;2019-05-17;en;fr;2029-01-29;MindTime
4436;018016784;2019-03-06;2019-08-15;en;de;2029-03-06;xCal
4437;018016785;2019-01-29;2019-07-09;en;it;2029-01-29;LIPSY
4438;018016789;2019-01-29;2019-10-23;en;it;2029-01-29;ATHLETIA CORE BALANCE
4439;018016790;2019-01-29;2019-07-05;en;es;2029-01-29;MAS ALLA DE LA PIEL PERFUMES LOEWE
4440;018016793;2019-01-29;2019-05-17;fr;en;2029-01-29;Rubisgold
4441;018016794;2019-01-29;2019-05-30;it;en;2029-01-29;Tisù
4442;018016795;2019-01-29;2019-05-28;en;de;2029-01-29;HDSCnet+
4443;018016797;2019-01-29;2019-06-22;ro;en;2029-01-29;SLOPE WARRIOR
4444;018016798;2019-01-29;2019-05-22;de;en;2029-01-29;SATINA SERENITY
4445;018016800;2019-01-29;2019-07-11;sk;en;2029-01-29;YOSARIA
4446;018016802;2019-01-29;2019-05-15;es;en;2029-01-29;FESTNIGHT
4447;018016805;2019-01-30;2019-05-15;en;de;2029-01-30;ASHUTB
4448;018016809;2019-01-30;2019-05-18;en;de;2029-01-30;Tervoka
4449;018016810;2019-01-30;2019-05-18;en;de;2029-01-30;VIKATECH
4450;018016812;2019-01-30;2019-06-14;de;en;2029-01-30;T4e
4451;018016813;2019-01-30;2020-09-14;de;en;2029-01-30;Max Group
4452;018016817;2019-01-30;2019-06-14;de;en;2029-01-30;PT4e
4453;018016818;2019-01-30;2019-06-19;en;es;2029-01-30;OXVA
4454;018016819;2019-01-30;2019-05-15;en;it;2029-01-30;SYITCUN
4455;018016821;2019-01-30;2019-06-14;de;en;2029-01-30;T5
4456;018016823;2019-01-30;2019-06-18;en;es;2029-01-30;Vativ
4457;018016826;2019-01-30;2019-06-18;en;es;2029-01-30;Lttsoyh
4458;018016831;2019-01-30;2019-08-03;fr;en;2029-01-30;SOLOCAL
4459;018016834;2019-01-30;2019-06-04;it;en;2029-01-30;TECH AWAY
4460;018016836;2019-01-30;2019-06-18;nl;en;2029-01-30;THE LOW
4461;018016840;2019-01-30;2019-06-12;nl;en;2029-01-30;JOBROAD
4462;018016842;2019-01-30;2019-07-12;en;de;2029-01-30;BETASTIX
4463;018016843;2019-01-30;2019-06-22;de;en;2029-01-30;ApeCoin
4464;018016845;2019-01-30;2019-06-04;en;de;2029-01-30;EMBLA
4465;018016847;2019-03-07;2019-10-11;de;en;2029-03-07;Megarine
4466;018016848;2019-01-30;2019-06-18;en;es;2029-01-30;OBUZOO
4467;018016849;2019-01-30;2019-09-05;nl;en;2029-01-30;KIPSTER
4468;018016852;2019-01-30;2019-05-31;da;en;2029-01-30;JBOT
4469;018016854;2019-01-30;2019-05-15;de;en;2029-01-30;GRASFiN
4470;018016856;2019-01-30;2019-06-15;de;en;2029-01-30;HUBIT
4471;018016858;2019-01-30;2019-06-28;fr;en;2029-01-30;PURESSENTIEL EXPERT
4472;018016859;2019-01-30;2019-06-13;de;en;2029-01-30;EXKLUSIVERo
4473;018016860;2019-01-30;2019-08-17;en;fr;2029-01-30;THE FORWARDS
4474;018016861;2019-01-30;2019-06-18;de;en;2029-01-30;Storchgeflüster
4475;018016863;2019-01-30;2019-05-28;de;en;2029-01-30;Hirschgwai
4476;018016868;2019-01-30;2019-05-15;fr;en;2029-01-30;EVAFLOR
4477;018016870;2019-01-30;2019-05-29;en;fr;2029-01-30;MAYBELLINE HYDRA EXTREME MATTES
4478;018016871;2019-01-30;2019-05-15;en;de;2029-01-30;BikeErg
4479;018016872;2019-01-30;2019-05-29;en;it;2029-01-30;ULTRA PARADISE
4480;018016875;2019-01-30;2019-06-12;en;fr;2029-01-30;FiberDesign
4481;018016879;2019-01-30;2019-05-28;en;es;2029-01-30;NELEMAN
4482;018016881;2019-01-30;2019-07-25;de;en;2029-01-30;eiskoid
4483;018016885;2019-01-30;2019-07-17;de;en;2029-01-30;Petesys
4484;018016889;2019-01-30;2020-06-03;da;en;2029-01-30;CRAFTGROW
4485;018016890;2019-01-30;2020-07-31;en;fr;2029-01-30;BeCentral
4486;018016891;2019-01-30;2020-01-09;es;de;2029-01-30;Eine Flasche Gutes, bitte!
4487;018016893;2019-01-30;2019-06-11;es;de;2029-01-30;LokalLiebe
4488;018016894;2019-01-30;2019-08-31;nl;en;2029-01-30;CODEMA
4489;018016897;2019-01-30;2019-06-13;en;fr;2029-01-30;COMBANGIO
4490;018016898;2019-01-30;2019-12-14;de;en;2029-01-30;WE DIG IT
4491;018016900;2019-01-30;2019-05-29;sv;en;2029-01-30;WOODY
4492;018016902;2019-01-30;2019-06-08;fr;en;2029-01-30;MILLOW
4493;018016903;2019-01-30;2020-01-17;da;en;2029-01-30;VERISHOP
4494;018016904;2019-01-30;2019-06-13;nl;en;2029-01-30;FLAMILIPS
4495;018016905;2019-01-30;2019-05-17;de;en;2029-01-30;DeMémoire
4496;018016907;2019-01-30;2019-05-17;de;en;2029-01-30;runow
4497;018016908;2019-01-30;2019-10-11;es;en;2029-01-30;ANETO
4498;018016909;2019-01-30;2019-05-31;nl;en;2029-01-30;NEWY
4499;018016912;2019-01-30;2019-05-30;fi;en;2029-01-30;XZ
4500;018016913;2019-01-30;2019-06-19;de;en;2029-01-30;IFN
4501;018016914;2019-01-30;2019-08-13;da;en;2029-01-30;SeaWeed
4502;018016915;2019-01-30;2019-06-14;en;de;2029-01-30;Henn na Hotel
4503;018016919;2019-01-30;2019-05-16;it;en;2029-01-30;julien maurice
4504;018016922;2019-01-30;2019-07-05;en;fr;2029-01-30;POWER TOOL WORKSHOP
4505;018016924;2019-01-30;2019-07-05;en;fr;2029-01-30;WET BLAST
4506;018016925;2019-01-30;2019-07-06;en;fr;2029-01-30;IMAGINE ANGEL
4507;018016928;2019-01-30;2019-05-18;en;de;2029-01-30;ALLISAL
4508;018016930;2019-01-30;2019-11-05;da;en;2029-01-30;FirstAgenda
4509;018016933;2019-01-30;2020-04-16;de;en;2029-01-30;MOONSHOT
4510;018016934;2019-01-30;2019-06-05;en;de;2029-01-30;EUSECA
4511;018016940;2019-01-30;2019-05-30;cs;en;2029-01-30;EMTONE
4512;018016941;2019-01-30;2019-07-04;en;it;2029-01-30;HILZAVO
4513;018016949;2019-01-30;2019-07-05;en;it;2029-01-30;Blackberry Woods
